"","orig.ident","nCount_RNA","nFeature_RNA","tissue","stage","gsm","source","sample_type","region_group","RNA_snn_res.0.1","seurat_clusters","RNA_snn_res.0.2","RNA_snn_res.0.3","RNA_snn_res.0.4","RNA_snn_res.0.5","RNA_snn_res.0.6","RNA_snn_res.0.7","RNA_snn_res.0.8","RNA_snn_res.0.9","RNA_snn_res.1","RNA_snn_res.1.1","RNA_snn_res.1.2","RNA_snn_res.1.3","RNA_snn_res.1.4","RNA_snn_res.1.5","RNA_snn_res.1.6","RNA_snn_res.1.7","RNA_snn_res.1.8","RNA_snn_res.1.9","RNA_snn_res.2","RNA_snn_res.2.1","RNA_snn_res.2.2","RNA_snn_res.2.3","RNA_snn_res.2.4","RNA_snn_res.2.5","RNA_snn_res.2.6","RNA_snn_res.2.7","RNA_snn_res.2.8","RNA_snn_res.2.9","RNA_snn_res.3"
"SRR2967385","Camp2015",468326.835459161,5069,"Dissociated whole cerebral organoid","65 days","GSM1957333","iPSC 409B2","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967386","Camp2015",257138.637585683,4750,"Dissociated whole cerebral organoid","65 days","GSM1957334","iPSC 409B2","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967387","Camp2015",504405.23615788,5407,"Dissociated whole cerebral organoid","65 days","GSM1957335","iPSC 409B2","organoid",NA,"0","6","0","0","0","4","4","5","5","5","5","6","6","6","7","6","6","6","6","6","5","6","5","4","4","10","10","11","11","11","11"
"SRR2967388","Camp2015",303290.92472244,6850,"Dissociated whole cerebral organoid","65 days","GSM1957336","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967389","Camp2015",207295.5744279,6572,"Dissociated whole cerebral organoid","65 days","GSM1957337","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967390","Camp2015",3670242.07876989,6862,"Dissociated whole cerebral organoid","65 days","GSM1957338","iPSC 409B2","organoid",NA,"0","6","0","0","0","4","4","5","5","5","5","6","6","6","7","6","6","6","6","6","5","6","5","4","4","10","10","11","11","11","11"
"SRR2967391","Camp2015",274222.256733566,6333,"Dissociated whole cerebral organoid","65 days","GSM1957339","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967392","Camp2015",330385.472805912,5144,"Dissociated whole cerebral organoid","65 days","GSM1957340","iPSC 409B2","organoid",NA,"0","6","0","0","0","4","4","5","5","5","5","6","6","6","7","6","6","6","6","6","5","6","5","4","4","10","10","11","11","11","11"
"SRR2967393","Camp2015",319676.254465324,5799,"Dissociated whole cerebral organoid","65 days","GSM1957341","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9"
"SRR2967394","Camp2015",450786.839957697,5718,"Dissociated whole cerebral organoid","65 days","GSM1957342","iPSC 409B2","organoid",NA,"0","6","0","0","0","4","4","5","5","5","5","6","6","6","7","6","6","6","6","6","5","6","5","4","4","10","10","11","11","11","11"
"SRR2967395","Camp2015",235027.477387508,8601,"Dissociated whole cerebral organoid","65 days","GSM1957343","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967396","Camp2015",322392.121658306,6703,"Dissociated whole cerebral organoid","65 days","GSM1957344","iPSC 409B2","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967397","Camp2015",353569.303960408,5621,"Dissociated whole cerebral organoid","65 days","GSM1957345","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9"
"SRR2967398","Camp2015",232026.047742936,5898,"Dissociated whole cerebral organoid","65 days","GSM1957346","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9"
"SRR2967399","Camp2015",315197.495717535,5305,"Dissociated whole cerebral organoid","65 days","GSM1957347","iPSC 409B2","organoid",NA,"0","6","0","0","0","4","4","5","5","5","5","6","6","6","7","6","6","6","6","6","5","6","5","4","4","10","10","11","11","11","11"
"SRR2967400","Camp2015",438845.097153337,5836,"Dissociated whole cerebral organoid","65 days","GSM1957348","iPSC 409B2","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","7","7","6","6","6","6","6","8"
"SRR2967401","Camp2015",535375.709908565,4779,"Dissociated whole cerebral organoid","65 days","GSM1957349","iPSC 409B2","organoid",NA,"0","7","0","0","0","1","1","1","1","1","6","7","7","7","6","7","7","7","7","7","8","7","7","8","8","7","8","7","7","7","6"
"SRR2967402","Camp2015",324950.891251741,5752,"Dissociated whole cerebral organoid","65 days","GSM1957350","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967403","Camp2015",249047.469848445,5500,"Dissociated whole cerebral organoid","65 days","GSM1957351","iPSC 409B2","organoid",NA,"0","6","0","0","0","4","4","5","5","5","5","6","6","6","7","6","6","6","6","6","5","6","5","4","4","10","10","11","11","11","11"
"SRR2967404","Camp2015",369457.706597269,8817,"Dissociated whole cerebral organoid","65 days","GSM1957352","iPSC 409B2","organoid",NA,"1","9","1","1","1","0","0","0","0","0","0","0","0","0","6","8","8","8","9","9","9","9","9","9","9","8","7","8","8","8","7"
"SRR2967405","Camp2015",377711.774021415,5468,"Dissociated whole cerebral organoid","65 days","GSM1957353","iPSC 409B2","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967406","Camp2015",394165.298277519,8217,"Dissociated whole cerebral organoid","65 days","GSM1957354","iPSC 409B2","organoid",NA,"0","6","0","0","0","4","4","5","5","5","5","6","6","6","7","6","6","6","6","6","5","6","5","4","4","10","10","11","11","11","11"
"SRR2967407","Camp2015",237683.815207788,3164,"Dissociated whole cerebral organoid","65 days","GSM1957355","iPSC 409B2","organoid",NA,"2","10","2","2","2","5","5","6","6","6","7","8","8","8","8","9","9","9","10","10","10","10","10","11","11","12","12","13","13","13","13"
"SRR2967408","Camp2015",309899.896918981,6454,"Dissociated whole cerebral organoid","65 days","GSM1957356","iPSC 409B2","organoid",NA,"0","6","0","0","3","4","4","5","5","5","5","6","6","6","7","6","6","6","6","6","5","6","5","4","4","11","11","12","12","12","12"
"SRR2967409","Camp2015",504046.743266586,5014,"Dissociated whole cerebral organoid","65 days","GSM1957357","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967410","Camp2015",326675.988924128,8053,"Dissociated whole cerebral organoid","65 days","GSM1957358","iPSC 409B2","organoid",NA,"0","6","0","0","3","4","4","5","5","5","5","6","6","6","7","6","6","6","6","6","5","6","5","4","4","11","11","12","12","12","12"
"SRR2967411","Camp2015",327480.407093395,8108,"Dissociated whole cerebral organoid","65 days","GSM1957359","iPSC 409B2","organoid",NA,"0","6","0","0","0","4","4","5","5","5","5","6","6","6","7","6","6","6","6","6","5","6","5","4","4","10","10","11","11","11","11"
"SRR2967412","Camp2015",456307.286587795,6311,"Dissociated whole cerebral organoid","65 days","GSM1957360","iPSC 409B2","organoid",NA,"2","6","0","0","3","4","4","5","5","5","5","6","6","6","7","6","6","6","6","6","5","6","5","4","4","11","11","12","12","12","12"
"SRR2967413","Camp2015",273569.207526092,5878,"Dissociated whole cerebral organoid","65 days","GSM1957361","iPSC 409B2","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967414","Camp2015",366685.912136772,8315,"Dissociated whole cerebral organoid","65 days","GSM1957362","iPSC 409B2","organoid",NA,"0","6","0","0","0","4","4","5","5","5","5","6","6","6","7","6","6","6","6","6","5","6","5","4","4","10","10","11","11","11","11"
"SRR2967415","Camp2015",530300.243914803,8510,"Dissociated whole cerebral organoid","65 days","GSM1957363","iPSC 409B2","organoid",NA,"0","6","0","0","3","4","4","5","5","5","5","6","6","6","7","6","6","6","6","6","5","6","5","4","4","11","11","12","12","12","12"
"SRR2967416","Camp2015",317311.597449456,6200,"Dissociated whole cerebral organoid","65 days","GSM1957364","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9"
"SRR2967417","Camp2015",264475.793233362,5991,"Dissociated whole cerebral organoid","65 days","GSM1957365","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967418","Camp2015",610068.106403503,5107,"Dissociated whole cerebral organoid","65 days","GSM1957366","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967419","Camp2015",419209.821869678,6233,"Dissociated whole cerebral organoid","65 days","GSM1957367","iPSC 409B2","organoid",NA,"0","6","0","0","3","4","4","5","5","5","5","6","6","6","7","6","6","6","6","6","5","6","5","4","4","11","11","12","12","12","12"
"SRR2967420","Camp2015",284278.838123436,6234,"Dissociated whole cerebral organoid","65 days","GSM1957368","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967421","Camp2015",248183.810615055,5180,"Dissociated whole cerebral organoid","65 days","GSM1957369","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9"
"SRR2967422","Camp2015",238127.409987166,5255,"Dissociated whole cerebral organoid","65 days","GSM1957370","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9"
"SRR2967423","Camp2015",397849.161916587,7620,"Dissociated whole cerebral organoid","65 days","GSM1957371","iPSC 409B2","organoid",NA,"0","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","3","3","3","3","3","2","2","2","2","1","1","1","1"
"SRR2967424","Camp2015",322222.656791903,6399,"Dissociated whole cerebral organoid","65 days","GSM1957372","iPSC 409B2","organoid",NA,"0","6","0","0","3","4","4","5","5","5","5","6","6","6","7","6","6","6","6","6","5","6","5","4","4","11","11","12","12","12","12"
"SRR2967425","Camp2015",483071.673755142,8940,"Dissociated whole cerebral organoid","65 days","GSM1957373","iPSC 409B2","organoid",NA,"1","6","1","1","1","0","0","5","5","5","5","0","0","6","7","6","6","6","6","6","5","6","5","4","4","10","10","11","11","11","11"
"SRR2967426","Camp2015",237899.65378688,6060,"Dissociated whole cerebral organoid","65 days","GSM1957374","iPSC 409B2","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967427","Camp2015",334798.298717009,6381,"Dissociated whole cerebral organoid","65 days","GSM1957375","iPSC 409B2","organoid",NA,"0","6","0","0","3","4","4","5","5","5","5","6","6","6","7","6","6","6","6","6","5","6","5","4","4","11","11","12","12","12","12"
"SRR2967428","Camp2015",636068.494695644,6611,"Dissociated whole cerebral organoid","65 days","GSM1957376","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967429","Camp2015",418399.764398164,5583,"Dissociated whole cerebral organoid","65 days","GSM1957377","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9"
"SRR2967430","Camp2015",388039.736511617,7425,"Dissociated whole cerebral organoid","65 days","GSM1957378","iPSC 409B2","organoid",NA,"0","8","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","8","8","7","8","8","7","7","6","6","6","6","6","8"
"SRR2967431","Camp2015",443029.438265372,9132,"Dissociated whole cerebral organoid","65 days","GSM1957379","iPSC 409B2","organoid",NA,"0","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","3","3","3","3","3","2","2","2","2","1","1","1","1"
"SRR2967432","Camp2015",407251.160260016,7691,"Dissociated whole cerebral organoid","65 days","GSM1957380","iPSC 409B2","organoid",NA,"0","6","0","0","0","4","4","5","5","5","5","7","7","7","6","6","6","6","6","6","5","6","5","4","4","10","10","11","11","11","11"
"SRR2967433","Camp2015",341892.866637198,5331,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957381","ESC H9","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967434","Camp2015",416850.472256878,8256,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957382","ESC H9","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967435","Camp2015",425081.390558564,8066,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957383","ESC H9","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967436","Camp2015",387330.629772938,7435,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957384","ESC H9","organoid",NA,"0","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","3","3","3","3","3","2","2","2","2","1","1","1","1"
"SRR2967437","Camp2015",457621.227057776,6860,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957385","ESC H9","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967438","Camp2015",454096.821476059,6253,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957386","ESC H9","organoid",NA,"0","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","3","3","3","3","3","2","2","2","2","1","1","1","1"
"SRR2967439","Camp2015",335180.698523207,5756,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957387","ESC H9","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967440","Camp2015",399703.199942788,7357,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957388","ESC H9","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967441","Camp2015",404618.81483748,8576,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957389","ESC H9","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967442","Camp2015",348164.210077171,6895,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957390","ESC H9","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967443","Camp2015",309732.52366885,7860,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957391","ESC H9","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967444","Camp2015",530858.119554718,6926,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957392","ESC H9","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967445","Camp2015",468559.835061429,7818,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957393","ESC H9","organoid",NA,"0","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","3","3","3","3","3","2","2","2","2","1","1","1","1"
"SRR2967446","Camp2015",451101.989909304,6401,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957394","ESC H9","organoid",NA,"0","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","3","3","3","3","3","2","2","2","2","1","1","1","1"
"SRR2967447","Camp2015",317077.112701419,6981,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957395","ESC H9","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967448","Camp2015",327912.344277136,6849,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957396","ESC H9","organoid",NA,"0","6","0","0","0","4","4","5","5","5","5","6","6","6","7","6","6","6","6","6","5","6","5","4","4","10","10","11","11","11","11"
"SRR2967449","Camp2015",441771.670722271,4879,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957397","ESC H9","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967450","Camp2015",698129.411494911,5792,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957398","ESC H9","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967451","Camp2015",437591.845650464,5564,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957399","ESC H9","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967452","Camp2015",394457.999554161,6718,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957400","ESC H9","organoid",NA,"0","5","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967453","Camp2015",349186.840877896,7933,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957401","ESC H9","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967454","Camp2015",340511.401341923,5008,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957402","ESC H9","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967455","Camp2015",398410.620444009,5824,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957403","ESC H9","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967456","Camp2015",466216.518416341,7926,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957404","ESC H9","organoid",NA,"0","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","3","3","3","3","3","2","2","2","2","1","1","1","1"
"SRR2967457","Camp2015",304807.589020387,5145,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957405","ESC H9","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967458","Camp2015",415865.147594659,8146,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957406","ESC H9","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967459","Camp2015",298872.45038206,7558,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957407","ESC H9","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967460","Camp2015",345082.340242152,6310,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957408","ESC H9","organoid",NA,"0","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","3","3","3","3","3","2","2","2","2","1","1","1","1"
"SRR2967461","Camp2015",357553.21322062,6963,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957409","ESC H9","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967462","Camp2015",320362.374592766,6516,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957410","ESC H9","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967463","Camp2015",475523.137234333,5714,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957411","ESC H9","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967464","Camp2015",386342.590303017,6517,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957412","ESC H9","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967465","Camp2015",491552.564474474,6088,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957413","ESC H9","organoid",NA,"0","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","3","3","3","3","3","2","2","2","2","1","1","1","1"
"SRR2967466","Camp2015",388569.851981655,7167,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957414","ESC H9","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967467","Camp2015",310738.489605857,6275,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957415","ESC H9","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967468","Camp2015",672032.880206894,5838,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957416","ESC H9","organoid",NA,"0","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","3","3","3","3","3","2","2","2","2","1","1","1","1"
"SRR2967469","Camp2015",368525.947403534,8607,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957417","ESC H9","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967470","Camp2015",307003.179891769,4963,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957418","ESC H9","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967471","Camp2015",436712.167169524,8583,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957419","ESC H9","organoid",NA,"0","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","3","3","3","3","3","2","2","2","2","1","1","1","1"
"SRR2967472","Camp2015",291136.134527878,7925,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957420","ESC H9","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967473","Camp2015",405701.762749131,5818,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957421","ESC H9","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967474","Camp2015",517766.293939453,8651,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957422","ESC H9","organoid",NA,"1","9","1","1","1","0","0","0","0","4","0","5","5","5","5","8","8","8","9","9","9","9","9","9","9","8","7","8","8","8","14"
"SRR2967475","Camp2015",311145.520776518,6290,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957423","ESC H9","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967476","Camp2015",615301.43137208,6191,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957424","ESC H9","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967477","Camp2015",281040.613680687,5680,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957425","ESC H9","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967478","Camp2015",320218.359969848,8794,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957426","ESC H9","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967479","Camp2015",442686.463094893,7039,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957427","ESC H9","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967480","Camp2015",235982.779451639,4014,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957428","ESC H9","organoid",NA,"2","10","2","2","2","5","5","6","6","6","7","8","8","8","8","9","9","9","10","10","10","10","10","11","11","12","12","13","13","13","13"
"SRR2967481","Camp2015",399492.024788181,6501,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957429","ESC H9","organoid",NA,"0","5","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967482","Camp2015",342134.584794806,5191,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957430","ESC H9","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967483","Camp2015",327880.756564524,5201,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957431","ESC H9","organoid",NA,"0","4","0","0","0","1","1","1","1","1","2","2","2","2","1","1","1","1","4","4","4","4","4","3","3","3","3","2","3","3","5"
"SRR2967484","Camp2015",506620.52333588,4928,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957432","ESC H9","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2"
"SRR2967485","Camp2015",177852.137606003,4092,"Microdissected cortical-like ventricle from cerebral organoid","53 days","GSM1957433","ESC H9","organoid",NA,"2","10","2","2","2","5","5","6","6","6","7","8","8","8","8","9","9","9","10","10","10","10","10","11","11","12","12","13","13","13","13"
