"myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster","gene"
0.791,1.12263192546278,0.582,1.61968398146618,1,1,"7","CH507-513H4.6"
0.79,1.11691560853941,0.58,1.61144030741826,1,1,"7","CH507-513H4.3"
0.788,1.18076695280483,0.576,1.70355835623335,1,1,"7","CH507-513H4.4"
0.775,0.192353028689857,0.55,1.51224074822759,0.8,0.337,"7","TUBB3"
0.769,2.72182448599013,0.538,3.94258301211656,0.933,0.81,"7","CTD-2328D6.1"
0.843,1.8525576164983,0.686,2.68593238698791,0.931,0.482,"8","S1PR1"
0.829,1.0696347336991,0.658,1.54331001800242,1,0.67,"8","C1orf61"
0.816,1.08687312642622,0.632,1.57039674249839,0.966,0.724,"8","CREB5"
0.81,1.2469506787736,0.62,1.80791891739477,0.966,0.628,"8","LRIG1"
0.798,0.962833056529039,0.596,1.39284064739807,0.862,0.365,"8","IFI44L"
0.794,1.41301452670434,0.588,2.03977860256361,1,0.837,"8","MCM7"
0.787,0.932535421805784,0.574,1.3495920247294,1,0.81,"8","ID4"
0.785,1.32267948625523,0.57,1.91265588874107,1,0.62,"8","MCM4"
0.785,0.83874174686964,0.57,1.21204309746285,1,0.787,"8","SOX5"
0.782,0.641367275077393,0.564,0.928749143405485,0.966,0.53,"8","HEY1"
0.863,0.735997786842014,0.726,1.56372025215319,1,0.749,"9","EEF1A1P12"
0.843,0.985713937235879,0.686,1.42830053819834,1,0.805,"9","RP11-175B9.3"
0.843,0.395714814539436,0.686,1.94731689082266,0.962,0.436,"9","EEF1A1P14"
0.839,1.03329673537361,0.678,1.50702324104552,1,0.741,"9","RPL41P2"
0.838,0.97172399248481,0.676,1.46847849322245,1,0.824,"9","RP11-492M23.2"
0.834,0.874011390957138,0.668,1.27039153069906,1,0.977,"9","RP11-50D9.1"
0.832,0.892079352141687,0.664,1.30865043013279,1,0.977,"9","RPL7P23"
0.831,0.878146650482924,0.662,1.42414678123728,1,0.79,"9","RPL3P2"
0.831,0.248805136796881,0.662,0.377760982034524,1,0.938,"9","AC097523.1"
0.83,0.55605301681209,0.66,0.848834778038721,1,0.84,"9","RP11-592N21.1"
0.851,0.360786543929666,0.702,1.09701153629269,0.929,1,"10","CTA-414D7.1"
0.847,0.680045415936605,0.694,1.32892259360257,0.929,0.998,"10","RP11-461F11.2"
0.838,0.851774125445131,0.676,1.31233701918694,0.929,1,"10","FRMD6-AS1"
0.806,0.860847673443266,0.612,1.24269289146961,1,0.735,"10","NFIB"
0.801,0.64143377152471,0.602,0.95535862197669,0.929,1,"10","LINC01116"
0.788,4.04903938006196,0.576,6.11166130933686,0.929,1,"10","CHST12"
0.785,1.21109346057343,0.57,1.84479009800158,1,1,"10","RP11-331G2.6"
0.779,1.60502867935332,0.558,2.31615171895563,1,0.988,"10","LUC7L3"
0.775,0.613038540094626,0.55,1.74846413037504,0.929,0.883,"10","C19orf35"
0.772,0.32199381078303,0.544,0.849699613263234,0.929,1,"10","AC010096.1"
