"myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster","gene"
0.748,1.48742999674746,0.496,2.29618381679066,0.623,0.144,"0","L1CAM"
0.748,0.83161878159318,0.496,1.19990664941104,1,1,"0","DPYSL2"
0.748,1.60512742076685,0.496,2.58445017680622,0.662,0.227,"0","POU2F2"
0.748,1.99683490715675,0.496,2.88661846961021,0.727,0.367,"0","GNG3"
0.747,1.84556707085378,0.494,2.67464820154778,0.883,0.645,"0","ATAT1"
0.745,1.64365521633128,0.49,2.37733676189994,0.974,0.907,"0","PPP3CA"
0.745,0.959578985133485,0.49,1.39115443519379,0.961,0.747,"0","KIF5C"
0.743,2.2257379414011,0.486,3.39240448455475,0.61,0.188,"0","SCN3B"
0.742,2.6331141402184,0.484,3.92774908242785,0.649,0.23,"0","CACNA2D1"
0.742,1.32172162501097,0.484,1.90974418098915,0.987,0.891,"0","CEP170"
0.74,3.30782890481866,0.48,4.90197832388886,0.597,0.16,"0","RP11-35N6.1"
0.74,1.2065138837741,0.48,1.74436509289194,0.857,0.561,"0","TAGLN3"
0.739,1.89327222913759,0.478,2.77397047362572,0.818,0.51,"0","PWAR6"
0.736,3.43637376869125,0.472,4.96457653911775,0.61,0.267,"0","NEUROD6"
0.733,0.975779845672103,0.466,1.43878111290448,0.961,0.798,"0","MIAT"
0.732,1.57586079013268,0.464,2.290372762188,0.779,0.471,"0","STXBP1"
0.732,1.38043815667079,0.464,1.99329945921603,1,0.984,"0","TUBB2B"
0.732,1.94522737542052,0.464,2.8258808095004,0.883,0.654,"0","TERF2IP"
0.731,2.64671766793828,0.462,3.88754371072703,0.532,0.086,"0","RALYL"
0.731,0.970088150488907,0.462,1.40554345413911,0.909,0.631,"0","KIAA0408"
0.73,1.66085521845146,0.46,2.4204578942876,0.909,0.731,"0","NBEA"
0.729,2.00072170873323,0.458,2.91010347026176,0.714,0.385,"0","D4S234E"
0.729,1.3995338863499,0.458,2.02872417451437,0.714,0.306,"0","SYT4"
0.728,3.5003716662892,0.456,5.63874975492235,0.519,0.09,"0","GABBR2"
0.728,2.08715215706566,0.456,3.02947338209802,0.662,0.246,"0","GRIK2"
0.728,0.785400619800805,0.456,1.1335359658893,1,1,"0","TTC3"
0.727,1.50362867523997,0.454,2.18080823290949,0.909,0.78,"0","DPYSL3"
0.727,1.87198953225303,0.454,2.70495708129653,0.779,0.503,"0","SCG5"
0.727,2.12447176408842,0.454,3.15674806318069,0.558,0.13,"0","IGSF21"
0.726,1.70401473713128,0.452,2.46734806994242,0.818,0.571,"0","GDAP1"
0.726,0.995893951816389,0.452,1.43849139589123,0.987,0.747,"0","CD24"
0.726,1.33474736039072,0.452,2.00014559552939,0.935,0.773,"0","TUBB2BP1"
0.725,1.63537123731553,0.45,2.38772067261598,0.675,0.288,"0","SNAP91"
0.724,1.22712967359226,0.448,1.77227114522217,0.922,0.787,"0","FEZ1"
0.723,2.20931453278942,0.446,3.37091820158151,0.61,0.248,"0","SSTR2"
0.723,1.80008900623698,0.446,4.61621508117549,0.506,0.074,"0","NEUROD2"
0.723,1.91340760309051,0.446,2.97052829554162,0.766,0.469,"0","SBK1"
0.722,1.46914644354504,0.444,2.12105069389242,0.974,0.81,"0","BEX1"
0.722,1.12818434837318,0.444,1.63630444386981,0.818,0.559,"0","GNG2"
0.722,1.86769533229019,0.444,2.84742158501123,0.571,0.146,"0","SLIT1"
0.721,1.05236707911765,0.442,1.52079902879831,0.948,0.78,"0","GPM6A"
0.72,1.9394188509491,0.44,2.95176835939477,0.714,0.411,"0","MTURN"
0.72,1.35116771558615,0.44,1.97200610391999,0.662,0.297,"0","REEP1"
0.72,2.67104306442279,0.44,3.97782930481324,0.558,0.146,"0","CNTN1"
0.72,1.88568182270989,0.44,2.85517711905637,0.727,0.413,"0","SLC1A2"
0.283,1.03691041993052,0.434,1.5213416061674,0.364,0.687,"0","AC011933.2"
0.717,2.19558268395736,0.434,3.33999604089085,0.636,0.26,"0","HIP1R"
0.717,1.1560606235383,0.434,1.67446404849772,0.922,0.673,"0","KIFAP3"
0.717,1.82483221492,0.434,2.66168476698258,0.727,0.506,"0","PRKACB"
0.716,1.28811346847579,0.432,1.86076199067017,0.961,0.787,"0","BEX2"
0.716,1.33805479838136,0.432,1.93967386700718,0.896,0.784,"0","PHACTR1"
0.715,1.62472769410495,0.43,2.37341150212135,0.779,0.49,"0","DCLK1"
0.715,0.665761289064635,0.43,0.963044318130613,0.974,0.891,"0","NCAM1"
0.715,3.20435469683311,0.43,4.74289331718076,0.494,0.077,"0","SLC17A6"
0.713,1.66881451879418,0.426,2.45315247392454,0.584,0.22,"0","OLFM1"
0.712,0.78899536333454,0.424,1.14147631426423,1,0.986,"0","USP22"
